UDID,Serial Number
00008030-001970922E22202E,JQVK1WT7RK
00008030-000A59842E40A02E,DLVF6CTJ31
00008030-001464613CC0A02E,GM6P7FGXN6
00008030-000004500240A02E,M0V4DWMGKF
00008030-00125D6C2140A02E,K064XLR6XT
00008030-0005692C2140A02E,HJHY65X9XX
00008030-001128621E42202E,TK991C74KR
00008030-001221043440A02E,J6K0MCXR4C
00008030-001615A13CC0A02E,JJCF6YHYG4
00008030-001E24AE2150202E,FYF39GYVCF
00008030-000538D00240A02E,K1QNWFDK9R
00008030-001E392C2140A02E,K006WFYJNM
00008030-000171500240A02E,FX1CD4Y205
00008030-001930612250202E,QJRX6HJCDV
00008030-000904291E22202E,HYC2NCY1Q1
00008030-001A55900240A02E,FD2Q7QPQ2V
00008030-000C796C2140A02E,LVQJC5XH5M
00008030-000E59313C82202E,NY4F940V22
00008030-001504621E42202E,V03KJHH0FV
00008030-001858922E22202E,X0MPFQHN43
00008030-001C456C2140A02E,C21K2W3JLJ
00008030-0005546C2140A02E,MJP7M1VFQ3
00008030-00146C441EE3C02E,J7VQXGF74Q
00008030-000D054A34C0202E,XGWCW2NQWM
00008030-0015052C2140A02E,JX2WFLFF69
00008030-001559A13CC0A02E,F06RVXPXL1
00008030-00040C4414C2202E,DRH7G069XC
00008030-001505A13CC0A02E,K93K37235N
00008030-000E14240E42202E,R0754GXF39
00008030-000450A13CC0A02E,LQ6DKJ3XKC
