Serial Number,UDID,Asset ID,Cover Tag,Location,Technician,Time Scanned,Owner,Returned
MR25PXLN7N,,LO78759,139,harrow@moderndemocracy.com,diana,2024-06-07 16:52:43.243979,HI,2024-07-11 17:16:20.926886
XF90JR7446,,LO78758,49,harrow@moderndemocracy.com,diana,2024-06-07 15:16:29.494731,HI,2024-07-11 17:12:27.435867
LC12C199PD,,LO78757,,,,,HI,
GXK7Q7TJCD,,LO78756,4104,threerivers@moderndemocracy.com,mehdi,2024-06-26 09:19:20.371270,HI,2024-07-11 16:10:29.136167
Q5Q19WMRW6,,LO78755,9,harrow@moderndemocracy.com,diana,2024-06-07 14:21:27.992001,HI,2024-07-11 17:15:02.919797
RW2KGL26FF,,LO78754,246,crawley@moderndemocracy.com,diana,2024-06-10 10:41:50.588231,HI,2024-07-11 09:27:45.721988
DD9P4TJJFD,00008030-000641EC1142202E,LO78753,267,crawley@moderndemocracy.com,diana,2024-06-10 10:57:13.368883,HI,2024-07-11 09:26:12.363128
Q27R9TNHPV,,LO78752,530,watford@moderndemocracy.com,parisa,2024-06-10 09:33:00.279979,HI,2024-07-10 12:51:26.088142
G29KX5141T,,LO78751,632,gosport@moderndemocracy.com,vilte,2024-06-10 11:14:33.181273,HI,2024-07-11 14:39:53.932784
X9YQP9XFGD,,LO78750,355,rother@moderndemocracy.com,diana,2024-06-11 10:06:10.678242,HI,2024-07-10 10:42:28.349663
YXF0KCXDV7,,LO78749,24,harrow@moderndemocracy.com,diana,2024-06-07 14:34:59.340370,HI,2024-07-11 17:16:49.004432
VK0VYJ3W32,,LO78748,170,gosport@moderndemocracy.com,diana,2024-06-07 17:21:00.306355,HI,2024-07-11 14:40:14.780383
J2CQW64R6V,,LO78747,609,gosport@moderndemocracy.com,vilte,2024-06-10 10:41:24.070439,HI,2024-07-11 14:40:55.324091
TK991C74KR,00008030-001128621E42202E,LO78746,210,arun@moderndemocracy.com,diana,2024-06-10 10:03:19.890339,HI,2024-07-11 15:07:27.394612
